Field=#~Integer~#~50|Field=Designator~String~Designator~100|Field=LibRef~String~LibRef~100|Field=Comment~String~Comment~100|Field=Quantity~Integer~Quantity~100|Field=Description~String~Description~100|Field=LogicalDesignator~String~LogicalDesignator~100|Field=PhysicalPath~String~PhysicalPath~100|Field=Project~String~Project~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Leningrad.PrjPcb|ReportField=ProjectFullPath~D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb|ReportField=Title~Bill of Materials For PCB Document [Leningrad_modify.PcbDoc]|ReportField=TotalQuantity~250|ReportField=ReportTime~15:04:24|ReportField=ReportDate~26.04.2026|ReportField=ReportDateTime~26.04.2026 15:04:24|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=DataSourceFileName~Leningrad_modify.PcbDoc|ReportField=DataSourceFullPath~D:\Altium\Project\Leningrad modify\Leningrad_modify.PcbDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
42|C39|Cap|Cap|1|Capacitor|C39|ZX_Main\MC|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
43|C40|Cap|Cap|1|Capacitor|C40|ZX_Main\Mem|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
44|C41|Cap|Cap|1|Capacitor|C41|ZX_Main\Mem|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
45|C42|Cap|Cap|1|Capacitor|C42|ZX_Main\Mem|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
46|C43|Cap|Cap|1|Capacitor|C43|ZX_Main\Mem|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
47|C44|Cap|Cap|1|Capacitor|C44|ZX_Main\Mem|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
48|C45|Cap|circle Kost or Vesta-IK30|1|Capacitor|C45|ZX_Main\CS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
49|C46|Cap|Cap|1|Capacitor|C46|ZX_Main\In|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
50|C47|Cap|Cap|1|Capacitor|C47|ZX_Main\Mem|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
51|C48|Cap|Cap|1|Capacitor|C48|ZX_Main\Mem|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
52|C49|Cap|my|1|Capacitor|C49|ZX_Main\VC|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
53|C50|Cap|circle|1|Capacitor|C50|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
54|C51|Cap|Cap|1|Capacitor|C51|ZX_Main\Mem|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
55|C52|Cap|Cap|1|Capacitor|C52|ZX_Main\Audio|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
56|C53|Cap|Cap|1|Capacitor|C53|ZX_Main\Audio|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
57|C54|Cap|Cap|1|Capacitor|C54|ZX_Main\VC|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
58|C55|Cap|Cap|1|Capacitor|C55|ZX_Main\VC|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
59|C56|Cap|Cap|1|Capacitor|C56|ZX_Main\VC|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
60|C57|Cap|Cap|1|Capacitor|C57|ZX_Main\VC|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
61|C58|Cap|Cap|1|Capacitor|C58|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
62|C59|Cap|Cap|1|Capacitor|C59|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
63|C60|Cap|Cap|1|Capacitor|C60|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
64|C61|Cap|Cap|1|Capacitor|C61|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
65|C62|Cap|Cap|1|Capacitor|C62|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
66|D1|Diode 1N4148|Diode 1N4148|1|High Conductance Fast Diode|D1|ZX_Main\VC|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
67|D2|Diode 1N4149||1|Computer Diode|D2|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
68|D3|Diode 1N4149||1|Computer Diode|D3|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
69|D4|Diode 1N4148|Diode 1N4148|1|High Conductance Fast Diode|D4|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
70|D5|Diode 1N4148|Diode 1N4148|1|High Conductance Fast Diode|D5|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
71|D6|Diode 1N4148|Diode 1N4148|1|High Conductance Fast Diode|D6|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
72|D7|Diode 1N4148|Diode 1N4148|1|High Conductance Fast Diode|D7|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
73|D8|Diode 1N4148|Diode 1N4148|1|High Conductance Fast Diode|D8|ZX_Main\In|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
74|D9|Diode 1N4148|Diode 1N4148|1|High Conductance Fast Diode|D9|ZX_Main\In|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
75|D10|Diode 1N4148|Diode 1N4148|1|High Conductance Fast Diode|D10|ZX_Main\Con|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
76|D11|Diode 1N4148|Diode 1N4148|1|High Conductance Fast Diode|D11|ZX_Main\Con|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
77|D12|Diode 1N4148|Diode 1N4148|1|High Conductance Fast Diode|D12|ZX_Main\Con|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
78|D13|Diode 1N4148|Diode 1N4148|1|High Conductance Fast Diode|D13|ZX_Main\Con|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
79|D14|Diode 1N4148|Diode 1N4148|1|High Conductance Fast Diode|D14|ZX_Main\Con|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
80|D15|Diode 1N4148|Diode 1N4148|1|High Conductance Fast Diode|D15|ZX_Main\Con|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
81|D16|Diode 1N4148|Diode 1N4148|1|High Conductance Fast Diode|D16|ZX_Main\Con|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
82|D17|Diode 1N4148|Diode 1N4148|1|High Conductance Fast Diode|D17|ZX_Main\Con|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
114|Q1|KT315|KT315|1|NPN General Purpose Amplifier|Q1|ZX_Main\In|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
115|Q2|KT315|KT315|1|NPN General Purpose Amplifier|Q2|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
116|Q3|KT315|KT315|1|NPN General Purpose Amplifier|Q3|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
117|Q4|KT315|KT315|1|NPN General Purpose Amplifier|Q4|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
118|Q5|KT315|KT315|1|NPN General Purpose Amplifier|Q5|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
120|R1|Res2||1|Resistor|R1|ZX_Main\CG|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
121|R2|Res2||1|Resistor|R2|ZX_Main\CG|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
122|R3|Res2||1|Resistor|R3|ZX_Main\CG|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
123|R4|Res2||1|Resistor|R4|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
124|R5|Res2||1|Resistor|R5|ZX_Main\CR|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
125|R6|Res2||1|Resistor|R6|ZX_Main\CR|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
126|R7|Res2||1|Resistor|R7|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
127|R8|Res2||1|Resistor|R8|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
128|R9|Res2||1|Resistor|R9|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
129|R10|Res2||1|Resistor|R10|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
130|R11|Res2||1|Resistor|R11|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
131|R12|Res2||1|Resistor|R12|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
132|R13|Res2||1|Resistor|R13|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
133|R14|Res2||1|Resistor|R14|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
134|R15|Res2||1|Resistor|R15|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
135|R16|Res2||1|Resistor|R16|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
136|R17|Res2||1|Resistor|R17|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
137|R18|Res2||1|Resistor|R18|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
138|R19|Res2||1|Resistor|R19|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
139|R20|Res2||1|Resistor|R20|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
140|R21|Res2||1|Resistor|R21|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
141|R22|Res2||1|Resistor|R22|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
142|R23|Res2||1|Resistor|R23|ZX_Main\VC|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
143|R24|Res2|Res2|1|Resistor|R24|ZX_Main\In|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
144|R25|Res2||1|Resistor|R25|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
145|R26|Res2|Res2|1|Resistor|R26|ZX_Main\In|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
