Field=#~Integer~#~50|Field=Designator~String~Designator~100|Field=LibRef~String~LibRef~100|Field=Comment~String~Comment~100|Field=Quantity~Integer~Quantity~100|Field=Description~String~Description~100|Field=LogicalDesignator~String~LogicalDesignator~100|Field=PhysicalPath~String~PhysicalPath~100|Field=Project~String~Project~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Leningrad.PrjPcb|ReportField=ProjectFullPath~D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb|ReportField=Title~Bill of Materials For PCB Document [Leningrad_modify.PcbDoc]|ReportField=TotalQuantity~250|ReportField=ReportTime~15:04:24|ReportField=ReportDate~26.04.2026|ReportField=ReportDateTime~26.04.2026 15:04:24|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=DataSourceFileName~Leningrad_modify.PcbDoc|ReportField=DataSourceFullPath~D:\Altium\Project\Leningrad modify\Leningrad_modify.PcbDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
214|U28|MN41256A-08|MN41256A-08|1||U28|ZX_Main\Mem|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
215|U29|M27C512-10B1|M27C512-10B1|1|512 Kbit (64Kb x 8) UV EPROM and OTP EPROM|U29|ZX_Main\CR|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
216|U30|SN74HC298N||1|Quadruple 2-Input Multiplexer with Storage|U30|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
217|U31|SN74HC298N||1|Quadruple 2-Input Multiplexer with Storage|U31|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
218|U32|SN74HC373N||1|Octal Transparent D-Type Latches with 3-State Outputs|U32|ZX_Main\CR|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
219|U33|SN74HC165N||1|8-Bit Parallel-Load Shift Register|U33|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
220|U34|SN74HC04N||1|Hex Inverter|U34|ZX_Main\CS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
221|U35|SN74LS95BN||1|4-Bit Parallel-Access Shift Register|U35|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
222|U36|SN74HC257N||1|Quadruple 2-Line to 1-Line Data Selector/Multiplexer with 3-State Outputs|U36|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
223|U37|SN74HC257N||1|Quadruple 2-Line to 1-Line Data Selector/Multiplexer with 3-State Outputs|U37|ZX_Main\In|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
224|U38|SN74HC257N||1|Quadruple 2-Line to 1-Line Data Selector/Multiplexer with 3-State Outputs|U38|ZX_Main\In|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
225|U39|SN74HC174N||1|Hex D-Type Flip-Flop with Clear|U39|ZX_Main\In|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
226|U40|SN74HC10N||1|Triple 3-Input Positive-NAND Gate|U40|ZX_Main\CS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
227|U41|SN74HC74N|SN74HC74N|1|Dual D-Type Positive-Edge-Triggered Flip-Flop with Clear and Preset|U41|ZX_Main\VC|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
228|U42|LM111J|LM111J|1|Differential Comparator with Strobe|U42|ZX_Main\In|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
229|U43|ATmega168A-PU|ATmega168A-PU|1|8-bit AVR Microcontroller, 16KB Flash, 512 Bytes EEPROM, 1KB SRAM, 28-pin PDIP, Industrial Grade (-40°C to 85°C)|U43|ZX_Main\Key|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
230|U44|SN74HC138N||1|3-Line to 8-Line Decoder / Demultiplexer|U44|ZX_Main\VC|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
231|U45|SN74HC174N|SN74HC174N|1|Hex D-Type Flip-Flop with Clear|U45|ZX_Main\MC|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
232|U46|SN74HC257N|SN74HC257N|1|Quadruple 2-Line to 1-Line Data Selector/Multiplexer with 3-State Outputs|U46|ZX_Main\MC|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
233|U47|SN74HC02N|SN74HC02N|1|Quadruple 2-Input Positive-NOR Gate|U47|ZX_Main\MC|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
234|U48|SN74HC00N|SN74HC00N|1|Quadruple 2-Input Positive-NAND Gate|U48|ZX_Main\MC|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
235|U49|SN74HC32N|SN74HC32N|1|Quadruple 2-Input Positive-OR Gate|U49|ZX_Main\CS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
236|U50|SN74HC08N|SN74HC08N|1|Quadruple 2-Input Positive-AND Gate|U50|ZX_Main\CS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
237|U51|SN74HC32N|SN74HC32N|1|Quadruple 2-Input Positive-OR Gate|U51|ZX_Main\CR|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
238|U52|AY-3-8912|AY-3-8912|1||U52|ZX_Main\Audio|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
239|U53|SN74HC02N|SN74HC02N|1|Quadruple 2-Input Positive-NOR Gate|U53|ZX_Main\Audio|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
241|X1|PWR2.5|PWR2.5|1|Low Voltage Power Supply Connector|X1|ZX_Main\Con|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
242|X2|PS2-6PIN|PS2-6PIN|1|6 Pin Through Hole PS2 Socket (Kycon P/N)|X2|ZX_Main\Con|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
243|X3|787761-1|787761-1|1|USB 1.1, Right Angle, Thru-Hole, A Type, Receptacle, 4 Position, Black|X3|ZX_Main\Con|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
244|X4|Phonejack Stereo SW|Tape IN|1|3-Conductor Jack with 2 break contacts (normals) and 2 auxiliary make contacts|X4|ZX_Main\Con|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
245|X5|Phonejack Stereo SW|Tape OUT|1|3-Conductor Jack with 2 break contacts (normals) and 2 auxiliary make contacts|X5|ZX_Main\Con|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
246|X6|Phonejack Stereo SW|Phonejack Stereo SW|1|3-Conductor Jack with 2 break contacts (normals) and 2 auxiliary make contacts|X6|ZX_Main\Con|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
247|X7|Header 5|Header 5|1|Header, 5-Pin|X7|ZX_Main\Con|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
248|X8|SCART|SCART|1||X8|ZX_Main\Con|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
249|Y1|XTAL|XTAL|1|Crystal Oscillator|Y1|ZX_Main\CG|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
250|Y2|XTAL|24 MHz|1|Crystal Oscillator|Y2|ZX_Main\Key|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
